u,v,key,length,highway,name
149581312,11677708815,0,5.762798370447406,residential,6th Street
149581312,8110207586,0,61.72410958905639,residential,Avenue B
149581314,6660388432,0,64.1198126986757,residential,6th Street
149581314,10792638248,0,43.87275679990074,residential,6th Street
149581314,10792638247,0,104.06377669071323,primary,Broadway
149581314,10792638252,0,35.804970289063526,primary,Broadway
149581316,6132436668,0,48.72217881887816,residential,6th Street
149581316,6660388435,0,37.67514780590886,residential,6th Street
149581316,6132436669,0,59.87077681266527,tertiary,North Alamo Street
149581316,149884226,0,58.264617725785335,tertiary,North Alamo Street
149581540,6649650077,0,49.85927909964367,residential,Lotus Avenue
149581540,149581546,0,7.4500189400165375,secondary,South Presa Street
149581540,6649650079,0,38.76645422380868,secondary,South Presa Street
149581546,149581548,0,209.64453265052236,residential,Lotus Avenue
149581546,1672914405,0,56.05175184448577,secondary,South Presa Street
149581546,149581540,0,7.4500189400165375,secondary,South Presa Street
149581548,149581546,0,209.64453265052236,residential,Lotus Avenue
149581988,11677708811,0,5.444897571833044,residential,10th Street
149581988,149690623,0,132.74860568280232,residential,Avenue B
149581988,10751922103,0,65.08315656818692,"['service', 'residential']",10th Street
149582592,6684240294,0,90.17539746718397,residential,West Peden Alley
149582592,150087263,0,11.508393969567056,secondary,South Flores Street
149582592,6474458672,0,40.508221583257246,secondary,South Flores Street
149585120,6924430002,0,66.98215085924818,tertiary,Camden Street
149585120,10593834186,0,15.937833947246922,tertiary,Camden Street
149585120,10593834183,0,45.06460858280774,secondary,McCullough Avenue
149585120,6022326281,0,59.49846396980246,secondary,McCullough Avenue
149585130,6640376618,0,65.42368960739479,tertiary,Camden Street
149585130,8549187416,0,68.12975195494525,tertiary,Camden Street
149585130,6017475877,0,78.72518701963598,tertiary,North Saint Mary's Street
149585130,6640376613,0,78.79996012265005,tertiary,North Saint Mary's Street
149585130,6909445713,0,30.63300044939536,tertiary,West Jones Avenue
149585132,6640376624,0,54.55253389780472,residential,Mc Lane Street
149585132,6909445707,0,34.6606315239143,tertiary,Camden Street
149585615,1436939535,0,228.23269648154692,secondary,South Saint Mary's Street
149585615,3576188237,0,25.01320122133294,secondary,South Saint Mary's Street
149585615,3576188234,0,26.299727378943643,residential,South Saint Mary's Street
149586144,149891959,0,95.46566686051632,residential,Mc Lane Street
149588127,9550504122,0,11.560974453704796,primary,South Alamo Street
149588127,9550504121,0,9.735190933094774,primary,East Market Street
149588143,11117292477,0,11.368781525298953,secondary,Bowie Street
149588143,11117292490,0,9.077495613690717,service,Unnamed
149588143,11117292482,0,9.337988100585774,primary,East Market Street
149591574,8295369020,0,23.100435362033885,secondary,South Saint Mary's Street
149591574,149591576,0,164.5776304387791,residential,Claudia Street
149591574,149591581,0,74.82705212154367,residential,Claudia Street
149591574,149686874,0,108.12250678603391,secondary,South Saint Mary's Street
149591576,149630719,0,91.1362870085802,residential,Cedar Street
149591576,149591574,0,164.5776304387791,residential,Claudia Street
149591576,149686871,0,127.22816980449409,residential,Cedar Street
149591581,11029622081,0,30.62680217651082,secondary,South Presa Street
149591581,149591574,0,74.82705212154367,residential,Claudia Street
149591581,149883672,0,19.527728415123995,residential,Vance Street
149591581,8295350716,0,29.891406108518364,secondary,South Presa Street
149594588,11090307038,0,4.592724565016173,service,Unnamed
149594588,10790084186,0,36.304296240046966,residential,Convent Street
149594588,11090307047,0,88.56086484174315,residential,Convent Street
149594592,1459413841,0,108.28876972695973,secondary,Navarro Street
149594592,11090307038,0,95.0587190462108,service,Unnamed
149602803,7257149952,0,20.467441002532922,primary,San Pedro Avenue
149602803,7496706165,0,58.54255208083979,secondary,San Pedro Avenue
149602803,7496706171,0,46.270395027105906,secondary,West Quincy Street
149604624,149853411,0,137.00729479949064,residential,Mission Street
149604624,7624690328,0,78.55030036146285,residential,Forcke Avenue
149604624,8548781539,0,39.846810940456,residential,Mission Street
149604637,149556713,0,82.48006458576019,residential,Forcke Avenue
149604637,7624690328,0,54.66629371586923,residential,Forcke Avenue
149604637,8548781530,0,73.16918033002459,residential,Adams Street
149604637,149853408,0,141.75757868986602,residential,Adams Street
149612667,11256164850,0,5.462841712861992,residential,Sweet Street
149612667,6043374191,0,15.551697572802327,secondary,South Flores Street
149612667,11256115031,0,66.26301290555026,secondary,South Flores Street
149612670,11258054236,0,4.786885432625835,residential,Sweet Street
149612670,11258087827,0,7.906135488886089,residential,Sweet Street
149612670,11258087825,0,5.504839958576448,residential,Nathan Street
149612670,11258087826,0,6.614893837274099,residential,Nathan Street
149612673,11258076638,0,14.517308020274594,residential,Sweet Street
149612673,8431693789,0,42.35146900730888,residential,South Main Avenue
149612673,149969659,0,68.1376166260822,residential,South Main Avenue
149613005,1663731078,0,41.716419793667846,secondary,Soledad Street
149613005,928692462,0,79.38831250784203,secondary,West Houston Street
149613005,11390818181,0,12.968831360295239,secondary,West Houston Street
149613005,9550504160,0,70.20502663178209,secondary,Soledad Street
149615941,11115173746,0,15.057753136673293,secondary,Interstate 37 North
149615941,149523659,0,52.659931489721956,tertiary,Brooklyn Avenue
149621727,3947211323,0,29.232116965935003,service,Unnamed
149622245,6638246726,0,72.79389036358012,residential,Constance Street
149622245,149630712,0,150.5156796677685,residential,East Guenther Street
149622245,6638246735,0,102.97505695864685,residential,East Guenther Street
149623925,12101590953,0,9.336322724763386,residential,East Lachapelle
149623925,12101590950,0,9.34259782899992,residential,West Lachapelle
149623925,12101590962,0,66.23106961901071,secondary,South Flores Street
149623925,12101591025,0,46.69100933225721,secondary,South Flores Street
149623928,149828502,0,255.420913636654,residential,"['East Lachapelle', 'Ellis Bean']"
149623928,12101590953,0,217.84265994323354,residential,East Lachapelle
149623928,149854938,0,85.49911229840815,residential,Applewhite Street
149623941,12101590989,0,68.19625032445434,residential,East Lachappelle
