u,v,key,osmid,highway,name,oneway,reversed,length,geometry,lanes,maxspeed,ref,bridge,width,access,service,tunnel,junction
1360124416,149936445,0,949926079,residential,Martinez Street,True,False,7.906101760505044,"LINESTRING (-98.4882409 29.4180937, -98.4883225 29.4180955)",,,,,,,,,
1360124416,1360124392,0,1034141252,secondary,South Alamo Street,True,False,33.722515545130506,"LINESTRING (-98.4882409 29.4180937, -98.4882266 29.4183105, -98.4882247 29.4183966)",3,,,,,,,,
1360124421,938877008,0,80475356,footway,,False,True,18.79043844840626,"LINESTRING (-98.4991556 29.4256505, -98.4991308 29.4258181)",,,,,,,,,
1360124421,9325401197,0,155998282,primary,West Commerce Street,True,False,89.10959444116664,"LINESTRING (-98.4991556 29.4256505, -98.4996309 29.4256847, -98.4998057 29.4256898, -98.4999762 29.4256868, -98.5000739 29.4256849)",3,,,,,,,,
1360124427,8430644126,0,907943491,service,,False,False,6.719322423478746,"LINESTRING (-98.4874722 29.4221097, -98.4874053 29.4220937)",,,,,,private,,,
1360124455,149628826,0,423585067,primary,West César E. Chávez Boulevard,True,False,16.249553660252648,"LINESTRING (-98.4987929 29.4210573, -98.4989445 29.4211199)",,,,,,,,,
1360124455,1360124399,0,1323251315,primary,South Santa Rosa Street,True,False,42.46313814641574,"LINESTRING (-98.4987929 29.4210573, -98.4986962 29.421225, -98.4986119 29.4214048)",2,,,,,,,,
1360124472,11117292428,0,40840466,pedestrian,Villita Street,False,True,14.441845185650516,"LINESTRING (-98.4877312 29.4216334, -98.4878743 29.4216699)",,,,,,,,,
1360124472,11117292433,0,121514370,secondary,South Alamo Street,True,False,91.85373831679068,"LINESTRING (-98.4877312 29.4216334, -98.488011 29.4208858, -98.4880293 29.4208494)",,,,,,,,,
1360124475,1360124472,0,121514370,secondary,South Alamo Street,True,False,16.372481982390536,"LINESTRING (-98.4876865 29.4217754, -98.4877312 29.4216334)",,,,,,,,,
1360124492,11257940502,0,15148508,residential,East Sheridan Street,False,False,5.400736322932948,"LINESTRING (-98.493729 29.413936, -98.4936857 29.4139054)",,,,,,,,,
1360124492,11257940496,0,15148508,residential,East Sheridan Street,False,True,8.803314881321445,"LINESTRING (-98.493729 29.413936, -98.4937989 29.4139866)",,,,,,,,,
1360124492,11257940495,0,154453863,residential,King William Street,False,False,8.968631876309432,"LINESTRING (-98.493729 29.413936, -98.4937855 29.4138721)",,,,,,,,,
1360124492,11257940497,0,154453863,residential,King William Street,False,True,5.501351756558949,"LINESTRING (-98.493729 29.413936, -98.4936942 29.4139751)",,,,,,,,,
1360124507,9325401195,0,150195404,primary,West Commerce Street,True,False,7.467970075243498,"LINESTRING (-98.500178 29.4256856, -98.5002546 29.4256933)",,,,,,,,,
1360124507,9325401196,0,1055687101,secondary,North San Saba Street,True,False,9.434706560898094,"LINESTRING (-98.500178 29.4256856, -98.500168 29.42577)",3,,,,,,,,
1360124521,1360124605,0,121514370,secondary,South Alamo Street,True,False,6.356975481080188,"LINESTRING (-98.4881028 29.4206968, -98.488125 29.420643)",,,,,,,,,
1360124527,922120896,0,278901092,path,River Walk,False,False,116.23649863785326,"LINESTRING (-98.4941471 29.4160409, -98.4941216 29.4161733, -98.4940782 29.4162908, -98.4939547 29.4166251, -98.4938861 29.4168756, -98.4938208 29.4169603, -98.4938072 29.4170363)",,,,,,,,,
1360124527,11258168876,0,746522443,cycleway,River Walk,False,False,41.672017450979425,"LINESTRING (-98.4941471 29.4160409, -98.4942046 29.4160072, -98.4942368 29.4159605, -98.4942663 29.4158717, -98.4943011 29.4158016, -98.4943369 29.415716)",,,,,,,,,
1360124527,6986093830,0,746522443,cycleway,River Walk,False,True,352.14344891937895,"LINESTRING (-98.4941471 29.4160409, -98.4941624 29.4159606, -98.4941647 29.4158327, -98.4941596 29.4157198, -98.4942954 29.4154522, -98.4945743 29.4152139, -98.4948586 29.4149102, -98.4951564 29.4143915, -98.4952181 29.4141041, -98.4953334 29.4137092, -98.4954434 29.4134989, -98.4955272 29.4134251, -98.4956261 29.413373, -98.4957308 29.4133221)",,,,,,,,,
1360124546,10789517930,0,130568489,tertiary,South Presa Street,False,False,37.52563652516576,"LINESTRING (-98.4897439 29.4220564, -98.4897564 29.4217191)",,,,,,,,,
1360124546,11117749645,0,130568489,tertiary,South Presa Street,False,True,6.897693239002111,"LINESTRING (-98.4897439 29.4220564, -98.4897416 29.4221184)",,,,,,,,,
1360124546,1360124604,0,40840466,pedestrian,Villita Street,False,False,14.877313337350415,"LINESTRING (-98.4897439 29.4220564, -98.4896865 29.4219955, -98.4896467 29.4219528)",,,,,,,,,
1360124561,149822371,0,15150692,residential,Washington Street,False,True,55.99853635881262,"LINESTRING (-98.4941548 29.4150266, -98.4937985 29.4154232)",,,,,,,,,
1360124567,2507843161,0,243360415,unclassified,South San Saba Street,True,False,74.09611203136234,"LINESTRING (-98.5003 29.424574, -98.5002244 29.4252371)",2,,,,,,,,
1360124567,3958776902,0,1035965258,primary,Dolorosa Street,True,False,27.57480530599061,"LINESTRING (-98.5003 29.424574, -98.5000196 29.424531)",4,,,,,,,,
1360124575,11117749655,0,100428822,tertiary,East Nueva Street,False,True,6.669775965549676,"LINESTRING (-98.489798 29.420984, -98.4898659 29.420994)",4,,,,,,,,
1360124575,11117749652,0,121514396,tertiary,East Nueva Street,True,False,5.3280733645065315,"LINESTRING (-98.489798 29.420984, -98.4897474 29.4209652)",2,,,,,,,,
1360124575,11117749657,0,125542210,tertiary,South Presa Street,False,False,8.80135363640339,"LINESTRING (-98.489798 29.420984, -98.4898113 29.4209057)",,,,,,,,,
1360124575,11117749653,0,130568489,tertiary,South Presa Street,False,True,15.855355774533145,"LINESTRING (-98.489798 29.420984, -98.489784 29.421096, -98.4897825 29.4211259)",,,,,,,,,
1360124590,11257826034,0,15150692,residential,Washington Street,False,False,33.42705850816147,"LINESTRING (-98.493533 29.415719, -98.4937456 29.4154822)",,,,,,,,,
1360124590,11257833137,0,15164708,residential,Beauregard Street,False,False,6.211092988646491,"LINESTRING (-98.493533 29.415719, -98.4934823 29.4156848)",,,,,,,,,
1360124590,11257833160,0,278901094,path,River Walk,False,True,8.125072484858384,"LINESTRING (-98.493533 29.415719, -98.4936145 29.4157363)",,,,,,,,,
1360124590,149822364,0,15150692,residential,Washington Street,False,True,194.1219405345046,"LINESTRING (-98.493533 29.415719, -98.4931054 29.416187, -98.492285 29.417085)",,,,,,,,,
1360124594,6451343032,0,688098689,footway,,False,True,17.641755816863217,"LINESTRING (-98.4881934 29.4193306, -98.4880114 29.4193243)",,,,,,,,,
1360124598,1360124375,0,150740163,primary,Dolorosa Street,True,False,15.366458818099348,"LINESTRING (-98.4983188 29.4243053, -98.4981607 29.4242937)",,,,,,,,,
1360124601,6457168429,0,"[79582464, 15148127]",residential,Lavaca Street,False,True,59.084934656060916,"LINESTRING (-98.4883056 29.4175842, -98.4881282 29.4175798, -98.4880614 29.4175917, -98.487878 29.417751, -98.4878 29.4176893)",,,,,,,,,
1360124601,149937957,0,351211565,secondary,South Alamo Street,False,False,26.416154048285108,"LINESTRING (-98.4883056 29.4175842, -98.4882993 29.4176617, -98.4882938 29.4178215)",,,,,,,,,
1360124601,149780844,0,351211565,secondary,South Alamo Street,False,True,28.16073835767753,"LINESTRING (-98.4883056 29.4175842, -98.48832 29.417499, -98.488357 29.417335)",,,,,,,,,
1360124603,9325401183,0,121514409,primary,South Santa Rosa Street,True,False,10.276238548437576,"LINESTRING (-98.4981764 29.4254545, -98.4981876 29.4253626)",,,,,,,,,
1360124603,9325401182,0,155998282,primary,West Commerce Street,True,False,12.41730729461562,"LINESTRING (-98.4981764 29.4254545, -98.498219 29.425477, -98.498281 29.4255118, -98.4982853 29.4255133)",3,,,,,,,,
1360124604,149645099,0,40840466,pedestrian,Villita Street,False,False,79.61659069979004,"LINESTRING (-98.4896467 29.4219528, -98.4895685 29.4219254, -98.4888411 29.4218182)",,,,,,,,,
1360124604,1360124546,0,40840466,pedestrian,Villita Street,False,True,14.877313337350415,"LINESTRING (-98.4896467 29.4219528, -98.4896865 29.4219955, -98.4897439 29.4220564)",,,,,,,,,
1360124604,11117749647,0,1198486698,footway,,False,False,94.02443015271169,"LINESTRING (-98.4896467 29.4219528, -98.489651 29.4219125, -98.4897042 29.421894, -98.4897468 29.4211397)",,,,,,,,,
1360124604,11117749641,0,1198486698,footway,,False,True,19.96152733389344,"LINESTRING (-98.4896467 29.4219528, -98.4896403 29.4220348, -98.4896913 29.4221214)",,,,,,,,,
1360124605,11117292436,0,1198427231,footway,,False,True,14.654455351282142,"LINESTRING (-98.488125 29.420643, -98.4882736 29.4206678)",,,,,,,,,
1360124605,12030927200,0,121514370,secondary,South Alamo Street,True,False,42.79577535909064,"LINESTRING (-98.488125 29.420643, -98.488176 29.4204843, -98.4882224 29.4203311, -98.4882285 29.4202697)",,,,,,,,,
1360124605,11117292437,0,1198427231,footway,,False,False,17.532075106612687,"LINESTRING (-98.488125 29.420643, -98.488031 29.4206166, -98.4879507 29.4206011)",,,,,,,,,
1436938981,6647021720,0,15144969,residential,El Paso Street,False,True,12.508171005454706,"LINESTRING (-98.5000941 29.4180447, -98.4999762 29.4179988)",,,,,,,,,
1436938981,11255918825,0,1214882279,footway,,False,False,7.644430090588747,"LINESTRING (-98.5000941 29.4180447, -98.5001282 29.4179827)",,,,,,,,,
1436938981,11255918826,0,1214882279,footway,,False,True,7.2493229843208375,"LINESTRING (-98.5000941 29.4180447, -98.5000665 29.4181053)",,,,,,,,,
1436938981,3013603125,0,15144969,residential,El Paso Street,False,False,13.931238667683498,"LINESTRING (-98.5000941 29.4180447, -98.5001773 29.4180653, -98.5002338 29.4180738)",,,,,,,,,
