u,v,key,osmid,highway,lanes,oneway,reversed,length,geometry,ref,name,bridge,maxspeed,service,access,tunnel,width
149473540,149703646,0,169549410,unclassified,,False,False,109.24058286940536,"LINESTRING (-98.472863 29.4053106, -98.4717822 29.405591)",,Aransas Avenue,,,,,,
149473540,149473542,0,15127103,secondary_link,2,False,False,47.2631639749059,"LINESTRING (-98.472863 29.4053106, -98.4729816 29.4053378, -98.4730918 29.405394, -98.4731745 29.4054523, -98.4732531 29.4055438)",,,,,,,,
149473542,149728884,0,169549438,secondary,4,False,False,38.88586674224435,"LINESTRING (-98.4732531 29.4055438, -98.4732559 29.4051941)",,South Hackberry Street,,,,,,
149473542,1470387388,0,169549439,secondary,4,False,True,18.758613125478117,"LINESTRING (-98.4732531 29.4055438, -98.4732532 29.4057125)",,South Hackberry Street,,,,,,
149473542,149473540,0,15127103,secondary_link,2,False,True,47.26316397490589,"LINESTRING (-98.4732531 29.4055438, -98.4731745 29.4054523, -98.4730918 29.405394, -98.4729816 29.4053378, -98.472863 29.4053106)",,,,,,,,
149474737,149815533,0,15150171,primary,2,True,False,41.32640222298428,"LINESTRING (-98.406484 29.449456, -98.406265 29.449137)",Loop 13,North W. W. White Road,,,,,,
149478156,149467040,0,15155726,secondary,2,True,False,156.9362993277485,"LINESTRING (-98.464599 29.402093, -98.465418 29.402089, -98.466219 29.402085)",,Interstate 10 East,,,,,,
149480587,2513510657,0,15159652,primary,,False,False,40.5295116360078,"LINESTRING (-98.4113482 29.4549066, -98.411017 29.4551295)",FM 78,Old Seguin Road,,50 mph,,,,
149480587,149934084,0,155394552,secondary,4,False,False,59.32450073377055,"LINESTRING (-98.4113482 29.4549066, -98.411721 29.45533)",,Northeast Loop 410,,,,,,
149480587,11640813733,0,"[372425249, 110486086]",secondary,"['1', '2']",True,False,189.86875818781687,"LINESTRING (-98.4113482 29.4549066, -98.411983 29.4544604, -98.4120944 29.4543089, -98.4121268 29.4542281, -98.4121334 29.4541164, -98.4121148 29.4540421, -98.4120287 29.4538761, -98.4118068 29.4535704)",,Northeast Loop 410,,,,,,
149480623,149474737,0,156137209,secondary,2,True,False,135.52713709629745,"LINESTRING (-98.4071272 29.4505385, -98.407011 29.450347, -98.406484 29.449456)",,Northeast Loop 410,,,,,,
149480795,583305266,0,"[15127817, 91193530, 91193516]",motorway_link,1,True,False,380.98767747729994,"LINESTRING (-98.4032395 29.4500048, -98.403436 29.450392, -98.403734 29.450694, -98.4038576 29.4507957, -98.4040697 29.4509377, -98.4043321 29.4510794, -98.405041 29.451469, -98.406304 29.4520084)",,,yes,,,,,
149481497,149481498,0,15127877,residential,,False,False,19.8552272763294,"LINESTRING (-98.474741 29.435243, -98.474536 29.435246)",,,,,,,,
149481497,149892024,0,15155052,residential,,False,True,144.55364128038693,"LINESTRING (-98.474741 29.435243, -98.47474 29.433943)",,North Mesquite Street,,,,,,
